mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02230687141418457,0.003230451794188598,0.00271148681640625,5.64075180893201e-05,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",0.7503649635036497,0.7386861313868613,0.7562043795620438,0.745985401459854,0.7474452554744525,0.7477372262773723,0.005721435895551938,11
0.11128821372985839,0.017994990441857223,0.005743169784545898,0.0010181454157873464,entropy,3,50,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}",0.7445255474452555,0.7357664233576642,0.745985401459854,0.7489051094890511,0.7489051094890511,0.7448175182481751,0.004832976746641436,22
0.20170269012451172,0.028581063554498694,0.009521150588989257,0.001829218537373967,entropy,3,100,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",0.7489051094890511,0.7445255474452555,0.7547445255474453,0.7474452554744525,0.745985401459854,0.7483211678832117,0.0035278966346261767,6
0.021470403671264647,0.002169987166649302,0.003766632080078125,0.0014457949750117018,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",0.745985401459854,0.7416058394160584,0.7547445255474453,0.7445255474452555,0.7503649635036497,0.7474452554744525,0.004616463737472109,12
0.11242318153381348,0.0236424515424666,0.006150150299072265,0.0013126344380739055,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",0.7489051094890511,0.743065693430657,0.7547445255474453,0.745985401459854,0.7474452554744525,0.748029197080292,0.0038734304120939035,7
0.19371566772460938,0.01840133467869317,0.009138011932373047,0.0002183773939968551,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",0.7489051094890511,0.7416058394160584,0.7562043795620438,0.7474452554744525,0.7489051094890511,0.7486131386861314,0.004653248890659625,3
0.02282605171203613,0.0008865575369136007,0.0029610633850097657,0.0003501591781234982,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",0.7445255474452555,0.7255474452554744,0.7518248175182481,0.7518248175182481,0.7503649635036497,0.7448175182481751,0.010003995152707633,22
0.13162655830383302,0.030778253053285555,0.006868982315063476,0.0004782119387619882,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",0.7445255474452555,0.7357664233576642,0.7547445255474453,0.7474452554744525,0.7489051094890511,0.7462773722627738,0.006221102409536534,15
0.20643949508666992,0.014198898482342088,0.011113882064819336,0.0008388569513155815,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0.745985401459854,0.7357664233576642,0.7562043795620438,0.7518248175182481,0.7489051094890511,0.7477372262773724,0.006872176523176548,10
0.02142162322998047,0.00027344831244131504,0.002857494354248047,9.813830025397315e-05,entropy,,10,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 10}",0.745985401459854,0.7284671532846715,0.7532846715328467,0.7445255474452555,0.7532846715328467,0.745109489051095,0.00907461037542779,20
0.10219907760620117,0.0038986084541506555,0.006596279144287109,0.00028749656290666685,entropy,,50,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}",0.7445255474452555,0.727007299270073,0.7576642335766424,0.7489051094890511,0.7503649635036497,0.7456934306569343,0.010256448508175359,19
0.20095243453979492,0.0016864036437792226,0.01126394271850586,0.00024585580529445385,entropy,,100,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.7445255474452555,0.7357664233576642,0.7547445255474453,0.7489051094890511,0.7503649635036497,0.7468613138686131,0.00643661538249598,14
0.026855039596557616,0.0059936221198852654,0.0028419017791748045,0.0006036596537102274,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}",0.7372262773722628,0.7401459854014598,0.7328467153284671,0.7313868613138687,0.7182481751824817,0.7319708029197081,0.007534883445584775,24
