mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44.18217349052429,4.099875304557947,0.042135190963745114,0.026094776626078165,100,20,0.01,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.01}",0.6471428571428571,0.6614285714285715,0.6628571428571428,0.67,0.6542857142857142,0.6591428571428571,0.007803714447855826,7
49.831137132644656,5.945684363812974,0.05894670486450195,0.06047319189620344,100,20,0.2,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.2}",0.7014285714285714,0.69,0.6114285714285714,0.6685714285714286,0.6928571428571428,0.6728571428571428,0.03256390890641517,6
4.051985025405884,0.9333242517383578,0.017003583908081054,0.005951459253015786,10,30,0.1,"{'n_estimators': 10, 'max_depth': 30, 'learning_rate': 0.1}",0.6428571428571429,0.6514285714285715,0.62,0.6357142857142857,0.6157142857142858,0.6331428571428572,0.01350434548353883,8
8.742294025421142,1.9079439232353552,0.013231945037841798,0.0040571127717448745,100,10,0.1,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.6914285714285714,0.6914285714285714,0.6842857142857143,0.6757142857142857,0.71,0.6905714285714286,0.011306490821376776,5
4.655997371673584,0.929016873035596,0.011832189559936524,0.002381328861376659,50,10,0.1,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.7171428571428572,0.6957142857142857,0.6914285714285714,0.6928571428571428,0.7057142857142857,0.7005714285714285,0.009672177645606175,4
20.944975185394288,2.7512150651095686,0.028902482986450196,0.004459215710051235,100,30,0.2,"{'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.2}",0.6357142857142857,0.6328571428571429,0.6114285714285714,0.63,0.5928571428571429,0.6205714285714287,0.016253100175231874,9
0.9294047832489014,0.19120792503633505,0.011356067657470704,0.005822146886585564,10,10,0.2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.2}",0.73,0.7157142857142857,0.72,0.7057142857142857,0.7328571428571429,0.7208571428571429,0.009839528775841455,3
6.933411931991577,0.9705388984505268,0.015500259399414063,0.0035532131927642485,100,10,0.01,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.7271428571428571,0.72,0.7185714285714285,0.72,0.7314285714285714,0.7234285714285713,0.0049979587670102655,2
0.6037819385528564,0.169611055643848,0.00584259033203125,0.0014292284027427793,10,10,0.1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.73,0.7185714285714285,0.7185714285714285,0.7228571428571429,0.7314285714285714,0.7242857142857142,0.005495824017620398,1
10.622675848007201,2.9667961323871532,0.012462902069091796,0.0012162719090832647,50,30,0.1,"{'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6314285714285715,0.63,0.5985714285714285,0.6342857142857142,0.5985714285714285,0.6185714285714285,0.016388149028228566,10
