mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.028995704650878907,0.00850192422901868,0.23922386169433593,0.09525096673790644,3,{'n_neighbors': 3},0.61,0.6228571428571429,0.62,0.6,0.61,0.6125714285714285,0.008151624352964076,4
0.029722118377685548,0.010201290075045718,0.35849661827087403,0.09990562383358337,5,{'n_neighbors': 5},0.62,0.6371428571428571,0.6528571428571428,0.6371428571428571,0.6242857142857143,0.6342857142857143,0.01153521670753503,3
0.05276651382446289,0.021326859170847014,0.31353254318237306,0.15732102940879059,7,{'n_neighbors': 7},0.6242857142857143,0.65,0.6685714285714286,0.6357142857142857,0.66,0.6477142857142858,0.016025489899863042,2
0.04843258857727051,0.024987308928649102,0.22872600555419922,0.11031098371333489,9,{'n_neighbors': 9},0.6457142857142857,0.66,0.6828571428571428,0.6414285714285715,0.6571428571428571,0.6574285714285714,0.01446741588705389,1
