mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11213598251342774,0.04967113237368875,0.0028411388397216798,0.0003483921408626744,10,10,0.01,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.708029197080292,0.708029197080292,0.7065693430656934,0.7065693430656934,0.7065693430656934,0.7071532846715328,0.0007151794869440145,9
0.4560351848602295,0.0427914467449619,0.003409671783447266,0.00017312107418109428,50,30,0.1,"{'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.10615901947021485,0.03076356138578455,0.0038802623748779297,0.0032246434973413774,10,30,0.2,"{'n_estimators': 10, 'max_depth': 30, 'learning_rate': 0.2}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.8750646114349365,0.05757729750816813,0.004670333862304687,0.0005852107535127524,100,20,0.01,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.01}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,7
0.07719712257385254,0.006256655374688743,0.0022043704986572264,5.460928501599171e-05,10,30,0.1,"{'n_estimators': 10, 'max_depth': 30, 'learning_rate': 0.1}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7489051094890511,0.7518248175182481,0.7480291970802919,0.005955059285947792,7
0.7454346656799317,0.04012469464153343,0.004752206802368164,0.00011378072009686419,100,20,0.2,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.2}",0.745985401459854,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.748029197080292,0.006096529348268948,6
0.07888126373291016,0.004561228775861965,0.002475547790527344,0.00019187298009804685,10,20,0.2,"{'n_estimators': 10, 'max_depth': 20, 'learning_rate': 0.2}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.0846487045288086,0.006888820867268331,0.002443695068359375,0.0002521583513633308,10,30,0.01,"{'n_estimators': 10, 'max_depth': 30, 'learning_rate': 0.01}",0.708029197080292,0.708029197080292,0.7065693430656934,0.7065693430656934,0.7065693430656934,0.7071532846715328,0.0007151794869440145,9
0.5510969638824463,0.07821439950517103,0.0041958332061767575,0.0008628314632871346,50,10,0.2,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.2}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
0.7024691104888916,0.14510514899436697,0.003983688354492187,0.0004356271225385973,100,20,0.1,"{'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.1}",0.7474452554744525,0.7372262773722628,0.7547445255474453,0.7503649635036497,0.7518248175182481,0.7483211678832117,0.0060262094716935334,1
