mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21717338562011718,0.11213470844543251,0.030426692962646485,0.02070373983498804,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",0.7257142857142858,0.7414285714285714,0.7314285714285714,0.7285714285714285,0.7457142857142857,0.7345714285714285,0.007687785169756388,16
0.6429543972015381,0.30580099759632323,0.01796121597290039,0.0035624769421981886,entropy,3,50,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}",0.7328571428571429,0.7414285714285714,0.7428571428571429,0.7285714285714285,0.7442857142857143,0.738,0.0061677237556922795,10
1.3635801315307616,0.3964793263620172,0.07346897125244141,0.03895419532573834,entropy,3,100,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",0.7328571428571429,0.7414285714285714,0.7428571428571429,0.7285714285714285,0.7457142857142857,0.7382857142857142,0.006477590885002649,4
0.22272472381591796,0.12553242301992795,0.018996667861938477,0.012690605736367438,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",0.7314285714285714,0.7385714285714285,0.7428571428571429,0.7271428571428571,0.7471428571428571,0.7374285714285713,0.007306692487168249,11
0.6374456405639648,0.22780069415308765,0.021813058853149415,0.006273295531360143,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",0.7328571428571429,0.74,0.7428571428571429,0.7271428571428571,0.7471428571428571,0.7380000000000001,0.0071485691446838955,7
1.3178125858306884,0.3189110581614698,0.04084863662719727,0.012620131031930599,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",0.7328571428571429,0.7414285714285714,0.7414285714285714,0.7285714285714285,0.7471428571428571,0.7382857142857142,0.006663945022680344,4
0.2259192943572998,0.09276271605825882,0.02337174415588379,0.013358648516730015,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",0.7428571428571429,0.7342857142857143,0.7357142857142858,0.7271428571428571,0.7457142857142857,0.7371428571428572,0.0065776368189836235,13
0.7972613334655761,0.1549482676848649,0.028382253646850587,0.008621199689328876,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",0.7371428571428571,0.74,0.7385714285714285,0.7285714285714285,0.7471428571428571,0.7382857142857142,0.0059521904731427615,4
1.276290225982666,0.2949091482114149,0.052653169631958006,0.028292953688258096,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0.7357142857142858,0.74,0.74,0.73,0.7485714285714286,0.7388571428571429,0.006087793072189284,1
0.19709620475769044,0.02929127699592911,0.014095830917358398,0.0049450889589275964,entropy,,10,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 10}",0.7028571428571428,0.7171428571428572,0.7042857142857143,0.6871428571428572,0.7014285714285714,0.7025714285714286,0.009536182439016373,24
0.8706079959869385,0.18896164782461927,0.03074955940246582,0.009543388945508838,entropy,,50,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}",0.7228571428571429,0.7042857142857143,0.7214285714285714,0.6985714285714286,0.7442857142857143,0.7182857142857142,0.01607126984048598,22
1.9227593421936036,0.38164291130266553,0.06281366348266601,0.01660124237093963,entropy,,100,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.7257142857142858,0.7214285714285714,0.7271428571428571,0.7042857142857143,0.7385714285714285,0.7234285714285714,0.011124527047961009,19
0.0773038387298584,0.00590686303420634,0.009527921676635742,0.000814335247628031,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}",0.7242857142857143,0.7085714285714285,0.7442857142857143,0.7171428571428572,0.7457142857142857,0.728,0.014752377878200672,18
0.5390230178833008,0.10619223014046479,0.029020166397094725,0.018756884063472323,gini,3,50,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}",0.7314285714285714,0.7414285714285714,0.7442857142857143,0.73,0.7457142857142857,0.7385714285714285,0.0065776368189836235,3
1.0205040454864502,0.3329362821710103,0.03195352554321289,0.021354938154116408,gini,3,100,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}",0.7328571428571429,0.74,0.7457142857142857,0.7271428571428571,0.7471428571428571,0.7385714285714287,0.007613092911128126,2
0.16052031517028809,0.06722371470400558,0.016043663024902344,0.010157467079040536,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",0.7285714285714285,0.7414285714285714,0.7371428571428571,0.7271428571428571,0.75,0.7368571428571429,0.008446711713768295,14
0.6203301906585693,0.2765016093963979,0.04187684059143067,0.03358814874791051,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",0.7314285714285714,0.7385714285714285,0.7442857142857143,0.7285714285714285,0.7471428571428571,0.7380000000000001,0.0071485691446838955,7
0.9582562446594238,0.14738838581826122,0.03691368103027344,0.013242779192255832,gini,5,100,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",0.7328571428571429,0.7414285714285714,0.7414285714285714,0.7271428571428571,0.7471428571428571,0.7380000000000001,0.007091242083423353,7
0.1242177963256836,0.013160003514154254,0.011313104629516601,0.001707373822373748,gini,10,10,"{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 10}",0.7214285714285714,0.7257142857142858,0.7271428571428571,0.7257142857142858,0.7471428571428571,0.7294285714285715,0.009062143729802102,17
